SrcIP;DstIP;SrcPort;DstPort;OrgName;SNI;Hostname;AD flag;Version;Client CipherSuite;Client Extensions;Client SG;CEC_fmt;JA3hash;Server CipherSuite;Server Extensions;Server SG;SEC_fmt;JA3S hash
10.0.2.15;184.51.9.204;52210;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52211;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52212;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52213;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52214;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52215;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52218;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;0529055d554c9da011b745452211c296;49200;16;;;0bcfa5ab48fd49e9b452fbea51bf9ff7
10.0.2.15;184.51.9.204;52223;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52224;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52225;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52226;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52227;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
10.0.2.15;184.51.9.204;52228;443;not resolved;api.accuweather.com;api.accuweather.com;;771;49195-49196-52393-49199-49200-52392-49161-49162-49171-49172-156-157-47-53;0-23-10-11-35-16-5-13;0x0000001d,0x00000017,0x00000018;0;193c522402283ed9e84b8bb38137829f;49200;0-11-35-5-16;;0,1,2;4e3362a4d6bdc0739bcf48fe32243a69
