SrcIP; DstIP; Type; Query; Ans; Auth; Add; Resp. Types; Response; Response Value
10.0.2.3;10.0.2.15;28;sdk.foursquare.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;securepubads.g.doubleclick.net;1;0;0;5;securepubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;ssl.google-analytics.com;2;0;0;5,28;ssl.google-analytics.com,ssl-google-analytics.l.google.com;2a00:1450:4014:80c::2008
10.0.2.3;10.0.2.15;28;t.appsflyer.com;1;0;0;5;t.appsflyer.com;
10.0.2.3;10.0.2.15;28;tpc.googlesyndication.com;2;0;0;5,28;tpc.googlesyndication.com,pagead-googlehosted.l.google.com;2a00:1450:4014:801::2001
10.0.2.3;10.0.2.15;28;venetia.iad.appboy.com;1;0;0;5;venetia.iad.appboy.com;
10.0.2.3;10.0.2.15;28;vortex.accuweather.com;2;0;0;5,5;vortex.accuweather.com,vortex-new.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;vortex.accuweather.com;2;0;0;5,5;vortex.accuweather.com,vortex-new.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;www.googletagservices.com;2;0;0;5,28;www.googletagservices.com,pagead46.l.doubleclick.net;2a00:1450:4014:801::2002
10.0.2.3;10.0.2.15;28;www.gstatic.com;1;0;0;28;www.gstatic.com;2a00:1450:4014:800::2003
