SrcIP; DstIP; Type; Query; Ans; Auth; Add; Resp. Types; Response; Response Value
10.0.2.3;10.0.2.15;1;z.moatads.com;3;0;0;5,5,1;z.moatads.com,wildcard.moatads.com.edgekey.net,e13136.g.akamaiedge.net;184.51.10.56
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;aax-eu.amazon-adsystem.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;accuweather.brightspotcdn.com;2;0;0;5,5;accuweather.brightspotcdn.com,cdn.accuweather.psdops.com;
10.0.2.3;10.0.2.15;28;ads.yahoo.com;3;0;0;5,28,28;ads.yahoo.com,fo-fd-world-new.yax.gysm.yahoodns.net,fo-fd-world-new.yax.gysm.yahoodns.net;2a00:1288:110:c305::9000,2a00:1288:110:c305::a000
10.0.2.3;10.0.2.15;28;android.clients.google.com;1;0;0;5;android.clients.google.com;
10.0.2.3;10.0.2.15;28;android.googleapis.com;2;0;0;5,28;android.googleapis.com,googleapis.l.google.com;2a00:1450:4014:80d::200a
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.accuweather.com;2;0;0;5,5;api.accuweather.com,api.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;api.appsflyer.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;api.appsflyer.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;api.mapbox.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;app-measurement.com;1;0;0;28;app-measurement.com;2a00:1450:4014:800::200e
10.0.2.3;10.0.2.15;28;cloudconfig.googleapis.com;2;0;0;5,28;cloudconfig.googleapis.com,googleapis.l.google.com;2a00:1450:4014:80d::200a
10.0.2.3;10.0.2.15;28;cm.g.doubleclick.net;1;0;0;5;cm.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;cms.accuweather.com;1;0;0;5;cms.accuweather.com;
10.0.2.3;10.0.2.15;28;combine.urbanairship.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;config2.mparticle.com;4;0;0;28,28,28,28;config2.mparticle.com,config2.mparticle.com,config2.mparticle.com,config2.mparticle.com;2a04:4e42:200::645,2a04:4e42::645,2a04:4e42:600::645,2a04:4e42:400::645
10.0.2.3;10.0.2.15;28;config2.mparticle.com;4;0;0;28,28,28,28;config2.mparticle.com,config2.mparticle.com,config2.mparticle.com,config2.mparticle.com;2a04:4e42::645,2a04:4e42:200::645,2a04:4e42:400::645,2a04:4e42:600::645
10.0.2.3;10.0.2.15;28;device-api.urbanairship.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;device-api.urbanairship.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;events.appsflyer.com;1;0;0;5;events.appsflyer.com;
10.0.2.3;10.0.2.15;28;events.appsflyer.com;1;0;0;5;events.appsflyer.com;
10.0.2.3;10.0.2.15;28;events.appsflyer.com;1;0;0;5;events.appsflyer.com;
10.0.2.3;10.0.2.15;28;events.appsflyer.com;1;0;0;5;events.appsflyer.com;
10.0.2.3;10.0.2.15;28;events.appsflyer.com;1;0;0;5;events.appsflyer.com;
10.0.2.3;10.0.2.15;28;fonts.googleapis.com;1;0;0;28;fonts.googleapis.com;2a00:1450:4014:80c::200a
10.0.2.3;10.0.2.15;28;geomobileservices-pa.googleapis.com;2;0;0;5,28;geomobileservices-pa.googleapis.com,googleapis.l.google.com;2a00:1450:4014:80d::200a
10.0.2.3;10.0.2.15;28;googleads.g.doubleclick.net;2;0;0;5,28;googleads.g.doubleclick.net,pagead46.l.doubleclick.net;2a00:1450:4014:800::2002
10.0.2.3;10.0.2.15;28;googleads.g.doubleclick.net;2;0;0;5,28;googleads.g.doubleclick.net,pagead46.l.doubleclick.net;2a00:1450:4014:800::2002
10.0.2.3;10.0.2.15;28;googleads4.g.doubleclick.net;1;0;0;5;googleads4.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;ib.adnxs.com;2;0;0;5,5;ib.adnxs.com,g.geogslb.com;
10.0.2.3;10.0.2.15;28;identity.mparticle.com;2;0;0;5,28;identity.mparticle.com,mparticle.map.fastly.net;2a04:4e42:1b::645
10.0.2.3;10.0.2.15;28;mads.amazon-adsystem.com;1;0;0;5;mads.amazon-adsystem.com;
10.0.2.3;10.0.2.15;28;mobile-collector.newrelic.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;nativesdks.mparticle.com;8;0;0;28,28,28,28,28,28,28,28;nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com,nativesdks.mparticle.com;2600:1f18:64e7:c304:759:5f1f:b42:36d5,2600:1f18:64e7:c304:2731:4842:e38f:6741,2600:1f18:64e7:c304:415d:69df:7704:40fe,2600:1f18:64e7:c304:ef88:8b32:2cb0:ec8c,2600:1f18:64e7:c303:9d97:ba03:cb57:fac1,2600:1f18:64e7:c304:6792:4dad:34ad:659,2600:1f18:64e7:c303:9834:f4a6:b9e6:9a2b,2600:1f18:64e7:c305:29d4:def9:5f68:8c3d
10.0.2.3;10.0.2.15;28;pagead2.googlesyndication.com;2;0;0;5,28;pagead2.googlesyndication.com,pagead46.l.doubleclick.net;2a00:1450:4014:800::2002
10.0.2.3;10.0.2.15;28;pubads.g.doubleclick.net;1;0;0;5;pubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;pubads.g.doubleclick.net;1;0;0;5;pubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;remote-data.urbanairship.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;s0.2mdn.net;2;0;0;5,28;s0.2mdn.net,s0-2mdn-net.l.google.com;2a00:1450:4014:800::2006
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.scorecardresearch.com;2;0;0;5,5;sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sb.voicefive.com;2;0;0;5,5;sb.voicefive.com,sb.voicefive.com.edgekey.net;
10.0.2.3;10.0.2.15;28;sdk.foursquare.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;sdk.foursquare.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;securepubads.g.doubleclick.net;1;0;0;5;securepubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;securepubads.g.doubleclick.net;1;0;0;5;securepubads.g.doubleclick.net;
10.0.2.3;10.0.2.15;28;settings.crashlytics.com;0;0;0;;;
10.0.2.3;10.0.2.15;28;ssl.google-analytics.com;2;0;0;5,28;ssl.google-analytics.com,ssl-google-analytics.l.google.com;2a00:1450:4014:80d::2008
10.0.2.3;10.0.2.15;28;t.appsflyer.com;1;0;0;5;t.appsflyer.com;
10.0.2.3;10.0.2.15;28;tpc.googlesyndication.com;2;0;0;5,28;tpc.googlesyndication.com,pagead-googlehosted.l.google.com;2a00:1450:4014:801::2001
10.0.2.3;10.0.2.15;28;vortex.accuweather.com;2;0;0;5,5;vortex.accuweather.com,vortex-new.accuweather.com.edgekey.net;
10.0.2.3;10.0.2.15;28;www.googletagservices.com;2;0;0;5,28;www.googletagservices.com,pagead46.l.doubleclick.net;2a00:1450:4014:800::2002
10.0.2.3;10.0.2.15;28;www.gstatic.com;1;0;0;28;www.gstatic.com;2a00:1450:4014:800::2003
10.0.2.3;10.0.2.15;28;z.moatads.com;2;0;0;5,5;z.moatads.com,wildcard.moatads.com.edgekey.net;
